,AccessionYear,Gender,Exposed,count
0,1905,M,False,1
1,1907,M,False,1
2,1907,M,True,1
3,1907,Unknown,False,2
4,1908,F,False,57
5,1908,M,False,604
6,1909,F,True,1
7,1909,M,False,2
8,1909,Unknown,False,2
9,1910,M,False,5
10,1910,Unknown,True,1
11,1911,M,False,4
12,1911,M,True,1
13,1912,M,False,2
14,1913,M,False,1
15,1914,M,False,3
16,1914,M,True,2
17,1915,F,False,25
18,1915,M,False,4
19,1916,M,False,1
20,1916,M,True,1
21,1917,F,False,3
22,1917,M,False,5
23,1917,M,True,2
24,1918,F,True,1
25,1918,M,True,2
26,1918,M,False,1
27,1919,F,False,1
28,1919,M,False,2
29,1920,F,False,1
30,1920,M,False,2
31,1920,Unknown,False,3
32,1921,M,False,3
33,1922,F,True,2
34,1922,F,False,1
35,1922,M,False,29
36,1922,M,True,2
37,1922,Unknown,False,14
38,1923,F,False,25
39,1923,F,True,5
40,1923,M,False,40
41,1923,M,True,6
42,1923,Unknown,False,31
43,1924,F,False,2
44,1924,M,False,15
45,1924,M,True,1
46,1924,Unknown,False,7
47,1925,F,False,7
48,1925,M,False,14
49,1925,Unknown,False,8
50,1926,F,False,4
51,1926,F,True,1
52,1926,M,False,25
53,1926,M,True,3
54,1926,Unknown,False,6
55,1927,F,False,15
56,1927,F,True,1
57,1927,M,False,48
58,1927,M,True,2
59,1927,Unknown,False,31
60,1927,Unknown,True,1
61,1928,M,False,15
62,1928,M,True,1
63,1928,Unknown,False,1
64,1929,F,False,6
65,1929,F,True,2
66,1929,M,False,19
67,1929,M,True,2
68,1929,Unknown,False,2
69,1930,F,False,2
70,1930,F,True,2
71,1930,M,False,7
72,1930,Unknown,False,5
73,1931,M,False,3
74,1931,M,True,1
75,1931,Unknown,False,3
76,1931,Unknown,True,1
77,1932,F,False,1
78,1932,M,False,14
79,1932,M,True,1
80,1933,F,False,2
81,1933,M,False,14
82,1934,F,False,5
83,1934,F,True,2
84,1934,M,False,17
85,1934,M,True,1
86,1934,Unknown,False,5
87,1935,F,False,1
88,1935,M,False,8
89,1935,Unknown,False,1
90,1936,F,False,3
91,1936,M,False,13
92,1936,Unknown,False,8
93,1937,F,False,2
94,1937,M,False,21
95,1937,Unknown,False,8
96,1938,F,False,4
97,1938,M,False,11
98,1939,F,False,9
99,1939,M,False,40
100,1939,Unknown,False,2
101,1940,F,False,15
102,1940,F,True,2
103,1940,M,False,33
104,1940,M,True,1
105,1940,Unknown,False,2
106,1941,F,False,6
107,1941,M,False,24
108,1941,Unknown,False,6
109,1942,F,False,36
110,1942,M,False,35
111,1942,M,True,2
112,1942,Unknown,False,15
113,1943,F,False,12
114,1943,M,False,211
115,1943,M,True,1
116,1943,Unknown,False,27
117,1944,F,False,4
118,1944,M,False,4
119,1944,Unknown,False,1
120,1945,F,False,22
121,1945,M,False,50
122,1945,Unknown,False,16
123,1945,Unknown,True,2
124,1946,F,False,9
125,1946,M,False,15
126,1947,F,False,6
127,1947,F,True,1
128,1947,M,False,4
129,1947,M,True,1
130,1947,Unknown,False,1
131,1948,F,False,9
132,1948,M,False,31
133,1948,M,True,2
